rho,delta,point,empirical_risk,population_risk,saer_growth,smoothness_upper,growth_ratio
0.0,0.01,rho_times_extra_coordinate,0.0,0.0,5e-05,5e-05,1.0
0.0,0.05,rho_times_extra_coordinate,0.0,0.0,0.0012500000000000002,0.0012500000000000002,1.0
0.0,0.2,rho_times_extra_coordinate,0.0,0.0,0.020000000000000004,0.020000000000000004,1.0
0.0,0.6,rho_times_extra_coordinate,0.0,0.0,0.18,0.18,1.0
0.1,0.01,rho_times_extra_coordinate,0.0,0.0,5e-05,5e-05,1.0
0.1,0.05,rho_times_extra_coordinate,0.0,0.0,0.0012500000000000002,0.0012500000000000002,1.0
0.1,0.2,rho_times_extra_coordinate,0.0,0.0,0.020000000000000004,0.020000000000000004,1.0
0.1,0.6,rho_times_extra_coordinate,0.0,0.0,0.18,0.18,1.0
0.25,0.01,rho_times_extra_coordinate,0.0,0.0,5e-05,5e-05,1.0
0.25,0.05,rho_times_extra_coordinate,0.0,0.0,0.0012500000000000002,0.0012500000000000002,1.0
0.25,0.2,rho_times_extra_coordinate,0.0,0.0,0.020000000000000004,0.020000000000000004,1.0
0.25,0.6,rho_times_extra_coordinate,0.0,0.0,0.18,0.18,1.0
0.5,0.01,rho_times_extra_coordinate,0.0,0.0,5e-05,5e-05,1.0
0.5,0.05,rho_times_extra_coordinate,0.0,0.0,0.0012500000000000002,0.0012500000000000002,1.0
0.5,0.2,rho_times_extra_coordinate,0.0,0.0,0.020000000000000004,0.020000000000000004,1.0
0.5,0.6,rho_times_extra_coordinate,0.0,0.0,0.18,0.18,1.0
1.0,0.2,out_of_theorem_boundary,0.0,0.0,0.020000000000000004,0.020000000000000004,1.0
