radius_r,eta,T,initial_w,final_w,empirical_risk_final,flat_minimizer_w,saer_at_sam_output,saer_at_flat_minimizer,sharpness_gap,gap_over_r2,zero_gradient_semantics
0.0,0.041666666666666664,8,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,no-op
0.0,0.041666666666666664,32,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,no-op
0.0,0.041666666666666664,128,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,no-op
0.0,0.1,8,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,no-op
0.0,0.1,32,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,no-op
0.0,0.1,128,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,no-op
0.0,0.25,8,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,no-op
0.0,0.25,32,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,no-op
0.0,0.25,128,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,no-op
0.02,0.041666666666666664,8,0.0,0.0,0.0,-0.5,0.0002,0.0,0.0002,0.5,no-op
0.02,0.041666666666666664,32,0.0,0.0,0.0,-0.5,0.0002,0.0,0.0002,0.5,no-op
0.02,0.041666666666666664,128,0.0,0.0,0.0,-0.5,0.0002,0.0,0.0002,0.5,no-op
0.02,0.1,8,0.0,0.0,0.0,-0.5,0.0002,0.0,0.0002,0.5,no-op
0.02,0.1,32,0.0,0.0,0.0,-0.5,0.0002,0.0,0.0002,0.5,no-op
0.02,0.1,128,0.0,0.0,0.0,-0.5,0.0002,0.0,0.0002,0.5,no-op
0.02,0.25,8,0.0,0.0,0.0,-0.5,0.0002,0.0,0.0002,0.5,no-op
0.02,0.25,32,0.0,0.0,0.0,-0.5,0.0002,0.0,0.0002,0.5,no-op
0.02,0.25,128,0.0,0.0,0.0,-0.5,0.0002,0.0,0.0002,0.5,no-op
0.05,0.041666666666666664,8,0.0,0.0,0.0,-0.5,0.0012500000000000002,0.0,0.0012500000000000002,0.5,no-op
0.05,0.041666666666666664,32,0.0,0.0,0.0,-0.5,0.0012500000000000002,0.0,0.0012500000000000002,0.5,no-op
0.05,0.041666666666666664,128,0.0,0.0,0.0,-0.5,0.0012500000000000002,0.0,0.0012500000000000002,0.5,no-op
0.05,0.1,8,0.0,0.0,0.0,-0.5,0.0012500000000000002,0.0,0.0012500000000000002,0.5,no-op
0.05,0.1,32,0.0,0.0,0.0,-0.5,0.0012500000000000002,0.0,0.0012500000000000002,0.5,no-op
0.05,0.1,128,0.0,0.0,0.0,-0.5,0.0012500000000000002,0.0,0.0012500000000000002,0.5,no-op
0.05,0.25,8,0.0,0.0,0.0,-0.5,0.0012500000000000002,0.0,0.0012500000000000002,0.5,no-op
0.05,0.25,32,0.0,0.0,0.0,-0.5,0.0012500000000000002,0.0,0.0012500000000000002,0.5,no-op
0.05,0.25,128,0.0,0.0,0.0,-0.5,0.0012500000000000002,0.0,0.0012500000000000002,0.5,no-op
0.1,0.041666666666666664,8,0.0,0.0,0.0,-0.5,0.005000000000000001,0.0,0.005000000000000001,0.5,no-op
0.1,0.041666666666666664,32,0.0,0.0,0.0,-0.5,0.005000000000000001,0.0,0.005000000000000001,0.5,no-op
0.1,0.041666666666666664,128,0.0,0.0,0.0,-0.5,0.005000000000000001,0.0,0.005000000000000001,0.5,no-op
